"owner","name","commit_sha","repo_id"
"Feneric","doxypypy","a739b1289bbba7bd56caeb7b06d9b7f1883c0a3b","10363686"
"Finnhub-Stock-API","finnhub-python","80913dee0bdf8c7521e730969e2fb8096b3d858c","265694118"
"Flask-Middleware","flask-security","c68fca7b2de0496250ead42336a4a3a1420fb8fa","56553990"
"FlyRanch","figurefirst","aa876e09d8b644a34e70fae94fe183baba3ce322","58682527"
"Frozenball","pytest-sugar","330900a3342f6256d5237302b7f56ca8d0148217","10950375"
"GIScience","openrouteservice-py","ed5e5cd8ec406fad05381bf7bda64a77ce4bfe89","119974379"
"GOVCERT-LU","eml_parser","e3f7cbb66f3619d940c39a7f751fa62457f8832f","9742606"
"GadgetReactor","pyHS100","e03c192c8ca5a22116fd7605151d8bb10d0255e1","62792596"
"Galvant","InstrumentKit","6d216bd7f8e9ec7918762fe5fb7a306d5bd0eb1f","9784110"
"GehirnInc","python-jwt","fd684745b2de884a32e6d7a423e659e4d262fb27","18668411"
"Genymobile","copydeps","1ad4f65b25559032d88860148806d6804c47b890","94978462"
"GerritCodeReview","git-repo","4a478edb443864561089b2699c9e65c85fc5e036","47751782"
"GoogleCloudPlatform","functions-framework-python","6f4a3608634debe0833d0ef5cd769050b5fecb01","231433569"
"Gorialis","jishaku","cf6dd32f3b2693067540b1a5247ecbb41b49e104","110757396"
"GreenBuildingRegistry","usaddress-scourgify","e2990ae01c9b8cdb28a3077070c17ca4726c9cbe","121785942"
"GreenSteam","pep257","0a78a1df7462818e8d405d5f5752e0402baa05c1","3316803"
"GreyNoise-Intelligence","pygreynoise","d512ace71121524d741f135e726d8693173096b3","113500389"
"GreyZmeem","python-logging-loki","1dc706a11de14e0cc0122d9489d7b69e91b3c6be","171691787"
"HDI-Project","ATM","dde454a95e963a460843a61bbb44d18982984b17","70934951"
"HEInventions","docnado","8817d8a9856b4babd9a2f81678a9ef0b8a75d4bc","152275505"
"HackSoftware","django-enum-choices","707fea94d1513a965ea0f28731918fd778fe87de","192922602"
"Hardtack","Flask-aiohttp","50cfc8c1f71bae9e10a4a475b06b5f6bd124e33b","33425995"
"HdrHistogram","HdrHistogram_py","25e180a5182f1019d4ae3da7c59b3af2a222a83a","38887434"
"HearthSim","dj-paypal","87a40e5f1a688ca8e0679a0fe3c18b8e12d5358b","100705515"
"HearthSim","python-hearthstone","ed0cdbaf10a804f874541b9f9f71b49b0081b716","42166972"
"HellerCommaA","flask-materialize","3395b4d8164c37259c1cfe73cb0b92ee6060e2e7","36047898"
"HewlettPackard","python-ilorest-library","3a55bf76e86237d625502aab1660c3c2df2c9979","79961932"
"Hironsan","HateSonar","727283e854f9ef22fe4a41973030a62e1f152467","119046941"
"Hironsan","anago","0ffb4004427c0991b6d023bfa62b37795f608a3d","95491035"
"Hironsan","asari","face58c29e9e69e3af67f8c40e9530527745a62b","169358575"
"Holiverh","python-valve","963086a385b771a9d58a757814a5cea8111c1c8b","9722846"
"HumanCapitalAnalysis","microeconometrics","d5be68de68f170f8e8f11c9ed635b42f19100f87","165247739"
"HydraChain","hydrachain","6c0919b0575dc8aa481f3a8c703e1a7f0575ecc3","41630316"
"HyperLink-Technology","brownie","0fa4477a178bd55b6683f60d077b7060df02b2c5","155913585"
"ICB-DCM","pyABC","e4fdc78f6290cb893596441f82fe287ed907919d","96995608"
"ICB-DCM","pyPESTO","2538efc44703e7d676d386cdfa3b0ec8e24e1c24","142321950"
"ICRAR","ijson","f2ed122298a24b748f7a7f3c5dd197bba16b4421","191300063"
"IDSIA","brainstorm","8f1fc886faf268b25085fa5c95bf106b1805d766","25727564"
"IDSIA","sacred","c9266e09cc0b8ea63fd7bab2d5dc4a12d578c7b9","18302786"
"Ian-Foote","rest-framework-generic-relations","6bd6dc2595b60abec1b759b13b08da78af419794","18703934"
"IdentityPython","SATOSA","43fd13273d7633b1d496d9c9aaef97c472ebd448","41785805"
"IdentityPython","pysaml2","72e69e43f555e3f37e8a21a89ac1f34402700a31","4425387"
"Infactum","onec_dtools","99c0b394f51fbd4225735ab37068c2dae00fdc00","45017241"
"Infinidat","munch","23f7aa3011039551588b4ef34761a9c85d907cfc","3664494"
"InsightSoftwareConsortium","SimpleITK-Notebooks","8c518839c2cffcab37d59ac2ae7280b98ef9918e","7489426"
"Instagram","MonkeyType","d582ee3914f9eee1fdfb76a57bb9f4206e017ceb","96832580"
"IntelAI","models","092e3c62fbf26548577c3f2a3886b270a15751cd","154412076"
"Intoli","exodus","ef3d5e92c1b604b09cf0a57baff0f4d0b421b8da","119092220"
"IvanMalison","okcupyd","46f4eaa9419098f6c299738ce148af55c64deb64","24355001"
"JHUISI","charm","3f7617675e19d58ee26c4e0f2010fc4908417434","1751860"
"JMSwag","PyUpdater","7093d769dd82e36d41a83423ff1bfea631c18db7","58295564"
"JakLiao","GoodGoodName","1ec053201c19131f357789b29beda8e46f58f7ff","146172280"
"James1345","django-rest-knox","8447cd00358b1a3f76862278711abd2cdcb8837a","42185087"
"JarnoRFB","incense","891f7e6453e4d59334d08fc67d77b13d0980f333","149267114"
"JazzCore","python-pdfkit","c83fa250f85b210f4a0f05ca613ec0fb9580732e","7466540"
"JinnLynn","genpac","2f466d28f403a9a5624e02edcd538475fe475fc8","4247123"
"JoelLefkowitz","drf-yasg","7316f13497065ffbe0e134e2a4bbd4ea76939d2c","299283256"
"JohannesBuchner","UltraNest","74952d1afb8ffa51108cd3641a6408fa58b2c843","212592577"
"JohnLangford","vowpal_wabbit","5d139f46c2796223ba04fb4099176d39459abb0d","265995"
"JonnyHaystack","i3-resurrect","80e3fd6d048fe473c8cb8b2dfb75b1ace3846408","192125541"
"JoshuaRLi","pylibgen","b515ac107ef61d79b7ce6c348b849009f43f7969","84247630"
"JukkaL","mypy","fbcb4a87b43e93352cb7983c48579d57faaa8a24","7053637"
"JuliaPy","pyjulia","cec4bf0b0eac7e39cecd8f3e7882563062903d0f","14576985"
"JulienGrv","asammdf","047c35e2b81279b52772304986658760b2810437","98357440"
"JungWinter","chatterbox","87ffc2a3d29f5fa2fb80dff2d1ebf28bf6179a5a","117255469"
"JurajNyiri","pytapo","87dbd0cbf2285b51051a42099120af72bc0563c1","300346342"
"Jwpe","Flask-Nicely","3717284457905c5c256081baaf9d46f822982495","16825537"
"KenKundert","emborg","87d1624bf6b2c2d03602c80eafe1d1e2446f23bc","160739372"
"KenKundert","nestedtext","4d2ac169784021fb99239aa2f317120590651bca","290086759"
"Kenza-AI","sagify","10a0cfc3c66adcb677676ba121d09ba20ab7789b","123693096"
"KhronosGroup","OpenXR-Docs","c403ae2ecd6bf982df26d4764f3cf5ec814f7b25","168441930"
"KhronosGroup","OpenXR-SDK-Source","76756e2e7849b15466d29bee7d80cada92865550","174538197"
"Kinto","kinto","de3d64b08878348985a20df91c8b9d7ddf0bd4bf","31315021"
"Kitt-AI","parsetron","77563587aa4f9b3dccdb150e680fa7ac4d3f809a","37108340"
"Kitware","bat","7f0de8bb052e8c84ab9bd00f195514d957eac9ec","85858065"
"Kotti","Kotti","771bc397698183ecba364b7b77635d5c094bbcf5","1303218"
"Kozea","pygal","8267b03535ff55789a30bf66b798302adad88623","2443236"
"Kozea","wdb","14d942444ecaeae21487f2423a76193509e0be70","6093324"
"Kronuz","SublimeCodeIntel","f097c0246d4f5161a15019a18c14af76238fe435","141174918"
"Kronuz","pyScss","6bf001ee6ac70ffb1bbcf670c4450e233bec6b7c","1326634"
"KxSystems","pyq","8c31f19e6ee8970d5b4146c5593cb1ed174e1385","29020098"
"Kyligence","kylinpy","04f360f9d07af8cf081e6d259893ba8a88b9376b","115098650"
"LLNL","maestrowf","b172457b6d20c01cbfa29dfc691ff20ddaadfe09","96822206"
"LMFDB","lmfdb","441c15d7af2def7bdf47b30ffba3f545d3c8b291","7166369"
"LaggAt","hacs-govee","de252260f6b4a9edf38da9e01d255caa6643935c","312080478"
"LarsAsplund","vunit","40135d936f0e3d6a77bb2e360b0611c2e70721a9","230577807"
"LaurenceRawlings","savify","508fec0a8e911d1539a65ab73c6fc2713bb543a0","203842922"
"LeafSoftware","python-lambder","1c50b5dd2af286286e1547ee87d815d66382b884","49981593"
"LiberTEM","LiberTEM","96099f427fd70ebb27747899cce97242262caf5c","116963730"
"LogicalDash","LiSE","fc816fb366b302440ff667ab6db8fa906cfaa1c5","9240835"
"LuminosoInsight","langcodes","49beea8e20ae26c2dead7bd77f41cfba0e0ab533","23003901"
"LuminosoInsight","ordered-set","4d74bee9bdfdc28df2564596398656f98cbe767b","5457956"
"LuminosoInsight","python-ftfy","4e87b8cfde3a28e837a418544f7b840d0fa3adb7","5542727"
"LxMLS","lxmls-toolkit","d95c623dd13e31135f4887c3788959eb9ad3d269","2926406"
"MITRECND","multiscanner","86e0145ba3c4a34611f257dc78cd2482ed6358db","33875018"
"MLWave","kepler-mapper","ece5d47f7d65654c588431dd2275197502740066","41101861"
"MacHu-GWU","uszipcode-project","5e09f4c0e416e0db2d849ca1d5938d364f882164","43776942"
"Madoshakalaka","pipenv-setup","d3cc76ff9069b90ef7aaf8a6db7608e95f860adc","203203922"
"ManrajGrover","halo","89c7934ddc79b544b48357822f4136c5a18d9cce","102246567"
"Map-A-Droid","MAD","543c3d7f002cdb64f2b6209d450ec18adc905a85","161387967"
"MarcoGorelli","absolufy-imports","59ecaf944eb65de6c6d467e14133e055e7bb2da6","335360951"
"MarketSquare","robotframework-robocop","b662b7d49a892ed1dfcbd59e5d6803f756b67936","278043371"
